,GSM21203,GSM21204,GSM21205,GSM21206,GSM21207,GSM21208,GSM21209,GSM21210,GSM21211,GSM21212,GSM21213,GSM21214,GSM21215,GSM21216,GSM21217,GSM21218,GSM21219,GSM21220,GSM21221,GSM21222,GSM21223,GSM21224,GSM21225,GSM21226,GSM21227,GSM21228,GSM21229,GSM21230,GSM21231,GSM21232,GSM21233
PRPF8,10.6771029735227,10.7533839115731,10.0989532181481,10.8715972656139,9.9464676986692,10.8355767450388,10.5316738690653,10.7066686821797,10.8772074331834,10.7077042331568,10.7979046562154,10.8335226364248,10.5474729648907,10.4154248897793,10.842664621825,10.7268993184765,10.4143681251254,10.507695550598,10.5844927969759,10.3417411868463,10.379811543787,10.6277162616984,10.4622977655389,10.7167337371527,10.4164808809265,10.408223578286,10.6488968064753,10.3150363164428,10.1582309783971,10.355461221614,10.3788367132106
CAPNS1,10.7274099768646,11.113481728276,11.7211846538914,10.9352387297978,10.0287348934849,11.6992254013152,11.2993797575745,11.698617859403,11.6820728599898,11.2583304726124,10.9113170796142,11.9876193119243,11.5899319812899,11.6847924440282,11.4200128299908,11.7617174319771,11.3431301833922,11.6080699677217,11.68877483015,12.0076580451774,11.2498245486162,11.2572699706356,11.4017328495226,11.0987558815413,11.590587049915,11.8173434524185,11.7965669318933,11.1034845261417,11.9606536049125,11.5871211704757,11.3053777856275
RPL35,11.7974588859151,11.9404604288637,12.1653467056887,12.4740100835602,12.316338106913,11.0940776856719,12.050154749392,12.3601886700627,12.2237000759863,12.0869986643205,11.7409612803584,12.3173560807199,11.9437601978612,12.2957115468416,11.9005649573591,12.2660544682984,12.2712295632156,12.652307222468,12.4060189421078,12.1179352467707,12.2589781735987,12.6255262118799,12.4135485997698,12.668087205046,12.6230812946531,12.428909715992,12.4858041568955,12.133206444944,12.7917733808587,12.2572994395528,12.0122404208062
MIR6805,11.0867609687413,10.8448391554286,10.9266517885814,11.2902565274124,11.3894458621325,10.926460333414,11.0530025311654,11.0207731264368,10.9325836559103,11.3011543144891,11.027663409947,10.7902538913954,10.6616731533696,10.8789910553258,10.9654355117883,10.7096715600923,10.8376125018689,11.1215051234399,10.7180095360798,10.4010347068549,10.845079603873,11.0607025198388,10.9015551422827,11.0778458023398,11.3864362806242,11.0874291144379,10.951735703196,11.0813766694648,11.0570294202174,11.1475891580328,10.8684354844801
EIF4G2,9.19169715258037,7.84157955762418,7.4554618737936,7.78958061426506,7.65070236878224,7.51323384025902,7.77298418455265,7.91414759389521,8.74121492122153,8.8855244706421,8.51855354528106,8.17228180699159,8.12035840543269,7.47295004667377,7.69297820363755,7.68933099323205,7.03921927532752,8.36864347977442,8.19800249143886,8.58950963839924,8.0537421839815,9.524045181804,8.14235820001591,8.20348862194337,8.68662375564096,8.63961557091288,7.2547344222118,7.88261196505865,7.9357810666875,8.1493455337005,7.90594922423117
EIF3D,10.1113965318286,10.1769211116444,9.86990224320795,10.0976371306267,9.56548293766582,9.72007321139177,10.1415962783838,10.1941412388631,9.90026304356897,9.95274124718649,10.0782842608628,9.83841607579734,10.0821490413539,10.2435310420173,10.0533829025857,9.87205919903182,10.0566377151132,10.126317293423,10.4456356713994,10.5404186798968,10.0433007543642,10.256090720087,10.1661630826461,10.0620461377205,10.3797032618009,10.2908252401573,10.6844856508233,10.286557761608,10.3029815660029,10.3132231734302,10.0122054959108
PARK7,12.7252384292817,12.8358530364445,12.8356162184793,13.3184439528968,11.7693833148354,13.0496103490022,12.8182226571797,13.200438879598,13.1658334475595,13.0903605683403,12.7145031187812,13.1345867533644,13.0266617575614,13.3288712371689,13.2600521274031,13.0281996186962,13.3406707474616,13.1651896571444,13.1989821151569,12.9736435601662,13.0771161272135,13.1300878677557,12.9959614282645,12.8961431607745,12.860427459183,12.9555772624446,13.1494454681891,12.7439087364477,13.1054502295626,12.7757954408018,13.2599050576916
SRP14,11.8623661487901,11.9865531497567,10.9755614062736,12.6308813911798,11.5310402422867,11.9232903403725,12.1113639267087,12.2187448481378,11.9860197730641,12.0378557756967,11.8202986500699,12.2251471727341,12.1617932291034,12.1842864941063,11.7022592791077,12.4622722001181,11.775404519504,12.5119749697772,12.6396120364355,12.554301051356,11.9895718985589,12.5469908934989,12.5906806068711,12.109471567842,11.8884388507452,12.1692986957928,12.7163264777356,12.055451915095,12.3350553246872,11.976814693845,12.005764882353
GDI2,9.62042980446043,9.35858065139962,10.0188090399828,10.7784804052378,10.185011411682,9.60569309453479,9.7913690644486,10.316387221799,9.52470924198719,9.95477687029318,9.8698064591837,9.69552922009404,9.7614761950876,10.1896494968223,8.99223423557733,10.4846845121995,10.2278765717491,10.7124867699453,10.5260535528232,10.5894239575106,10.2790804531297,10.6326544298645,10.7432399059857,10.5685637040408,10.4060220764903,10.6860516914331,10.9052492412108,10.6456738659759,10.8774925058786,10.1104468853194,10.1018649579779
RPL11,11.8853531968139,11.361505197948,10.9462483607682,12.4703538322916,12.3101583179478,10.9664333514014,11.5649592301953,12.3944894903318,11.6922231747786,11.657407777778,11.416903061057,11.6214566765558,12.1892686189289,12.1769834243553,10.7699204698453,11.968198777282,12.1779177921958,11.9390281817633,11.8944767499154,11.8826048418898,11.8809992136643,12.2296900555514,12.947034167284,12.5786085607378,12.2878277905363,12.1553874815679,12.3983161634002,12.1531719917426,12.3274403677248,11.5026826548989,11.2323609635425
